id_empresa,situacao_desc,cnae_descricao,score_final,classe_final,ranking,if_anomalia,dbscan_outlier,score_manual_norm,padrao,anos_operacao,qtd_socios,qtd_filiais,sem_socios,max_empresas_por_socio,taxa_inapta_municipio
EMP_RJ_01317,Ativa,Comércio varejista de combustíveis (postos),0.75,Crítico,1,1,1,0.16666666666666666,P1: Capital incompatível,0.8,0,7,1,1.0,0.20689655172413793
EMP_RJ_01471,Inapta,Comércio atacadista de combustíveis,0.7460547360337684,Crítico,2,1,1,0.6666666666666666,P2: Empresa fantasma,22.6,0,2,1,1.0,0.2
EMP_RJ_00781,Inapta,Comércio varejista de combustíveis (postos),0.7196978669466998,Crítico,3,0,1,1.0,P3: Laranja societário,43.3,2,0,0,11.0,0.25
EMP_RJ_00985,Inapta,Comércio varejista de combustíveis (postos),0.7126729677239441,Crítico,4,1,1,0.8333333333333334,P2: Empresa fantasma,32.1,0,1,1,1.0,0.5
EMP_RJ_00675,Ativa,Extração de petróleo e gás natural,0.7049109467726629,Crítico,5,1,1,0.5833333333333334,P5: Ativa suspeita,0.1,0,10,1,1.0,0.21731448763250882
EMP_RJ_01360,Ativa,Extração de petróleo e gás natural,0.703702613399404,Crítico,6,1,1,0.6666666666666666,P3: Laranja societário,2.7,4,0,0,18.0,0.21731448763250882
EMP_RJ_00439,Inapta,Comércio atacadista de combustíveis,0.7012033886384734,Crítico,7,0,1,1.0,P2: Empresa fantasma,18.1,0,0,1,1.0,0.25
EMP_RJ_01499,Ativa,Comércio varejista de combustíveis (postos),0.7008255814677302,Crítico,8,1,1,0.5833333333333334,P3: Laranja societário,0.1,3,0,0,22.0,0.21731448763250882
EMP_RJ_00164,Inapta,Comércio varejista de combustíveis (postos),0.6993268822140781,Alto,9,0,1,1.0,P3: Laranja societário,25.7,2,0,0,11.0,0.20212765957446807
EMP_RJ_00028,Inapta,Comércio varejista de combustíveis (postos),0.6984963231741406,Alto,10,0,1,1.0,P3: Laranja societário,29.9,2,0,0,11.0,0.25
EMP_RJ_01413,Ativa,Extração de petróleo e gás natural,0.6945882801766232,Alto,11,1,1,0.6666666666666666,P3: Laranja societário,1.6,4,0,0,16.0,0.21731448763250882
EMP_RJ_01414,Ativa,Extração de petróleo e gás natural,0.6945882801766232,Alto,11,1,1,0.6666666666666666,P3: Laranja societário,1.6,4,0,0,16.0,0.21731448763250882
EMP_RJ_00298,Inapta,Comércio varejista de combustíveis (postos),0.6923643900880911,Alto,13,0,1,1.0,P3: Laranja societário,22.4,2,0,0,11.0,0.23809523809523808
EMP_RJ_00199,Inapta,Comércio varejista de combustíveis (postos),0.6921390679954135,Alto,14,0,1,1.0,P3: Laranja societário,24.8,2,0,0,11.0,0.21731448763250882
EMP_RJ_00122,Suspensa,Comércio varejista de combustíveis (postos),0.6904427576080088,Alto,15,1,1,0.6666666666666666,P3: Laranja societário,15.5,2,4,0,11.0,0.20212765957446807
EMP_RJ_01369,Ativa,Comércio varejista de combustíveis (postos),0.6891766542484319,Alto,16,1,1,0.25,Outros,2.6,14,0,0,4.0,0.25
EMP_RJ_01249,Inapta,Comércio varejista de combustíveis (postos),0.6869940528338102,Alto,17,1,1,0.8333333333333334,P4: Abandono fiscal,33.7,5,0,0,8.0,0.21731448763250882
EMP_RJ_00575,Inapta,Fabricação de combustíveis,0.6859388587996538,Alto,18,0,1,1.0,P2: Empresa fantasma,15.3,0,0,1,1.0,0.21731448763250882
EMP_RJ_01018,Inapta,Comércio atacadista de combustíveis,0.6808859000958397,Alto,19,0,1,1.0,P2: Empresa fantasma,7.1,0,0,1,1.0,0.13333333333333333
EMP_RJ_01019,Inapta,Comércio varejista de combustíveis (postos),0.6737980650732465,Alto,20,0,1,0.8333333333333334,P2: Empresa fantasma,33.0,0,1,1,1.0,0.21731448763250882
EMP_RJ_00127,Ativa,Extração de petróleo e gás natural,0.6734065609079147,Alto,21,1,1,0.5833333333333334,P5: Ativa suspeita,0.2,0,3,1,1.0,0.13333333333333333
EMP_RJ_01016,Inapta,Comércio varejista de combustíveis (postos),0.6724521801827598,Alto,22,0,1,0.8333333333333334,P2: Empresa fantasma,49.1,0,1,1,1.0,0.1724137931034483
EMP_RJ_01352,Ativa,Comércio varejista de combustíveis (postos),0.6713381225516173,Alto,23,1,1,0.3333333333333333,P3: Laranja societário,2.9,4,0,0,11.0,0.21731448763250882
